date	username	to	replies	retweets	favorites	text	geo	mentions	hashtags	id	permalink	
15.5.2020 19.55	JoeBiden		948	5576	21193	To everyone who has lost a loved one due to COVID-19: I know it's incredibly difficult right now, but there will come a time when their memory brings a smile to your lips before it brings a tear to your eye. It will take time, but that’s when you know you’re going to make it.				1,26E+18	https://twitter.com/JoeBiden/status/1261384606433058816	
15.5.2020 18.05	JoeBiden		1364	2059	6286	If you’re looking for ways to show off your support for the campaign or to stay entertained while we’re social distancing, we’ve got you covered. Check out our new free store where you’ll find everything from phone backgrounds to crossword puzzles:				1,26E+18	https://twitter.com/JoeBiden/status/1261356924370423811	
15.5.2020 15.55	JoeBiden		3483	9496	38505	We have the power to create the future we want. A future where: - We end our gun violence epidemic - We lead the world in combating climate change - Everyone has access to the health care they need - Our government works for all — not just the wealthy and well-connected				1,26E+18	https://twitter.com/JoeBiden/status/1261324208577015810	
15.5.2020 14.25	JoeBiden		1796	9402	57752	To all of our front line workers who are working day in and day out to keep our nation afloat during this crisis, thank you.				1,26E+18	https://twitter.com/JoeBiden/status/1261301559213715457	
15.5.2020 0.59	JoeBiden		7042	19868	111282	We are months into this crisis. There is simply no excuse for President Trump's failure to implement a national testing strategy.				1,26E+18	https://twitter.com/JoeBiden/status/1261098722852777984	
15.5.2020 0.26	JoeBiden	MSNBC	1791	2525	11152	Tonight, @StaceyAbrams and I will be joining @Lawrence for a discussion on combating COVID-19 and how we can ensure everyone can make their voice heard this November. Tune in to @MSNBC at 10 PM ET to watch live.		@staceyabrams @Lawrence @MSNBC		1,26E+18	https://twitter.com/JoeBiden/status/1261090619285540864	
14.5.2020 23.32	JoeBiden	BarackObama	11907	40022	247858	What he said.				1,26E+18	https://twitter.com/JoeBiden/status/1261077076465115141	
14.5.2020 23.05	JoeBiden		2924	13744	36816	Donald Trump can deflect and shift blame all he wants, but the hard truth is he failed to protect our nation from the worst public health and economic crisis in our lifetime.				1,26E+18	https://twitter.com/JoeBiden/status/1261070033905577985	
14.5.2020 22.30	JoeBiden		493	1399	4816	Sherian, a small business owner from South Carolina, recently asked how I would help businesses like hers recover from this crisis and how we can tackle health care disparities among communities of color. They're important questions. Here's what I said:				1,26E+18	https://twitter.com/JoeBiden/status/1261061226886574081	
14.5.2020 20.44	JoeBiden	nytimes	1351	4963	18808	The lives of tens of millions of Americans have been thrown into chaos through no fault of their own — and Donald Trump simply isn't doing enough to help them.				1,26E+18	https://twitter.com/JoeBiden/status/1261034759758675972	
14.5.2020 19.40	JoeBiden		952	1918	5801	Join me for a virtual roundtable on COVID-19 with Governors Gretchen Whitmer, Phil Murphy and Ned Lamont who are at the forefront of this crisis:				1,26E+18	https://twitter.com/JoeBiden/status/1261018512920731648	
14.5.2020 19.22	JoeBiden		762	2185	7605	Small businesses are the backbone of this country. We have to do so much more to support them through this crisis. Here's what I would do if I were president:				1,26E+18	https://twitter.com/JoeBiden/status/1261013914025750528	
